model,vendorModel
CAC3AV,CA-C3AV
KCAIP202,KCA-IP202
KCAIP302,KCA-IP302
KCAMH100,KCA-MH100
KCARC01A,KCA-RC01A
KNREMOTE,KN-REMOTE
RCDV331,KNA-RCDV331
KB2016,KB-2016
CAXHL10QI,CAX-HL10Qi
KAC9106D,KAC-9106D
X3024,X302-4
X5021,X502-1
X8025,X802-5
XR9015,XR901-5
PXW804B,P-XW804B
PXW1221D,P-XW1221D
PXW1221DHP,P-XW1221DHP
PXW1241S,P-XW1241S
KN16000,KN16001
KNJVCC16,KNJVCC17
KNJVCD16,KNJVCD16
KNJVCD22,KNJVCD22
KCARC35MR,KCA-RC35MR
KCARC55MR,KCA-RC55MR
KMRD382BT,KMR-D382BT
KMRD772BT,KMR-D772BT
CAEX3MR,CA-EX3MR
CAEX7MR,CA-EX7MR
CAY107MR,CA-Y107MR
KFC1653MRW,KFC-1653MRW
KMRM332BT,KMR-M332BT
KACM1824BT,KAC-M1824BT
XM3024,XM302-4
KACM5024BT,KAC-M5024BT
KMMBT232U,KMM-BT232U
DPX594BT,DPX-594BT
KMMX705,KMM-X705
KDCX305,KDC-X305
KMMBT38,KMM-BT38
DPX395MBT,DPX395MBT
KMMBT732HD,KMM-BT732HD
DPX505BT,DPX505BT
STZRF200WD,STZRF200WD
CADR1030,CA-DR1030
CMOS230,CMOS-230
DRV320,DRV-320
DRVA501WDP,DRV-A501WDP
CMOS130,CMOS-130
DRVA601WDP,DRV-A601WDP
DDX5707S,DDX-5707S
DDX9907XR,DDX9907XR
DMX1057XR,DMX1057XR
DMX125BT,DMX125BT
DMX4707S,DMX4707S
DMX47S,DMX47S
DMX907S,DMX907S
DNR1007XR,DNR1007XR
DNX577S,DNX577S
DNX697S,DNX697S
DNX997XR,DNX997XR
DMX709S,DMX709S
DDX396,DDX396
DMX908S,DMX908S
DMX809S,DMX809S
DMX7709S,DMX7709S
DMX958XR,DMX958XR
DMX129BT,DMX129BT
KFCP710PS,KFC-P710PS
KFCX134,KFC-X134
KFCX174,KFC-X174
KFCX183C,KFC-X183C
KFCX2C,KFC-X2C
KFCX3C,KFC-X3C
KFCX463C,KFC-X463C
KFCX683C,KFC-X683C
KFCX694,KFC-X694
KFCXP6902C,KFC-XP6902C
KFCXP6903C,KFC-XP6903C
KHCR500B,KH-CR500B
XR1701,XR-1701
XR1801P,XR-1801P
KFC6966S,KFC-6966S
KFCC6866S,KFC-C6866S
KFC1666S,KFC-1666S
KFCC6896PS,KFC-C6896PS
KFCP71,KFC-P71
KFCXW1000F,KFC-XW1000F
KFCXW1200F,KFC-XW1200F
KFCXW1241,KFC-XW1241
XRW804,XR-W804
KFCXW1221HP,KFC-XW1221HP
KFCXW1241HP,KFC-XW1241HP
XRW12F,XR-W12F
DAX1050XR,DAX1050XR
KMMBT332U,KMM-BT332U
KFCX695,KFC-X695
KFCX175,KFC-X175
DMX50S,DMX50S
DMX40S,DMX40S
CAPOD14LC,CA-POD14LC
CAPOD14AC,CA-POD14AC
