MODEL,VENDORMODEL,MAKE,NEW,MSRP,MAP,PRICE,MC,DESCRIPTION
DEHS1200UB,DEH-S1200UB,PIONEER,X,120,110,72,8,UL-Low USB
DEHS4220BT,DEH-S4220BT,PIONEER,X,170,130,96,8,UL-Low BT iPod
DEHS6220BS,DEH-S6220BS,PIONEER,X,230,200,124.8,8,UL-Low BT RGB
DEHS7200BHS,DEH-S7200BHS,PIONEER,X,280,250,152,8,2UL-Low BT HD/DAB RGB
FHS520BT,FH-S520BT,PIONEER,X,200,180,120,4,UL-Low FH BT
FHS722BS,FH-S722BS,PIONEER,X,260,230,140.6,4,2DIN CD RCVR W/USB IPOD BT & MIXTRAX
MVHS322BT,MVH-S322BT,PIONEER,X,150,130,80,8,DMR-Low BT
MVHS522BS,MVH-S522BS,PIONEER,X,190,170,112,8,DMR-Low BT RGB
MVHS622BS,MVH-S622BS,PIONEER,X,200,180,117,8,FH DMR-Low BT RGB
MVHS720BHS,MVH-S720BHS,PIONEER,X,220,190,124.8,8,DMR-Low BT HD/DAB RGB
AVH241EX,AVH-241EX,PIONEER,X,380,330,201.47,4,21XL Connected AVH 6.2 BT
AVH2550NEX,AVH-2550NEX,PIONEER,X,750,650,401.5,6,"Multimedia RCVR W/7"" DSPLY/ BT/HD/ APP"
AVH3500NEX,AVH-3500NEX,PIONEER,X,930,830,511,4,"1DIN Multimedia DVD recvr w/7"" WVGA touc"
AVHW4500NEX,AVH-W4500NEX,PIONEER,X,1200,1000,648.9,4,"RCVR w/7.0"" WiFi Wireless CP/AA det.scrn"
DMH1800NEX,DMH-1800NEX,PIONEER,X,420,280,210.93,6,"2D AV MF 6.8"" BT Capac Mechaless CP/AA"
DMH2000NEX,DMH-2000NEX,PIONEER,X,420,430,270.1,6,Wired CP/AA Multimedia Digital Media Rec
DMH241EX,DMH-241EX,PIONEER,X,300,250,139.5,6,"21XL Connected AV MF 6.2"" BT"
DMH342EX,DMH-342EX,PIONEER,X,350,300,186.55,6,21XL Connected AV MF 6.8 BT Capacitive
DMHC2550NEX,DMH-C2550NEX,PIONEER,X,600,520,338.36,4,Non-Din separate 6.8'' BT HD Derivative
