Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
18WRNGLERSTG5,18WRNGLER-STG5,ROCKFORD,"1,800 Watt All-In-One Audio Kit for Select 2018-2023 Jeep Wrangler JL",780687360481,"$4,499.99","$3,000.00", 1 , 109.0 , 62.5 , 22.0 , 25.3 , 109.0 , 62.5 , 22.0 , 25.3 
20GLADRSTG5,20GLADR-STG5,ROCKFORD,"1,800 Watt All-In-One Audio Kit for Select 2020+ Jeep Gladiator JT",780687364304,"$4,499.99","$3,000.00", 1 , 101.0 , 62.5 , 22.0 , 25.3 , 101.0 , 62.5 , 22.0 , 25.3 
24WRNGLERSTG3,24WRNGLER-STG3,ROCKFORD,"1,800 Watt All-In-One Audio Kit for Select 2024+ Jeep Gladiator JL",780687366902,"$3,499.99","$2,310.00", 1 , 69.0 , 37.5 , 19.5 , 27.5 , 69.0 , 37.5 , 19.5 , 27.5 
WRNGLRTRIM,WRNGLR-TRIM,ROCKFORD,Trim Kit for Jeep Wrangler JL with OEM Premium Audio,780687360474,$439.99,$330.00, 1 , 17.6 , 48.0 , 18.5 , 27.5 , 17.6 , 48.0 , 18.5 , 27.5 
T400X2AD,T400X2AD,ROCKFORD,"2 channel amplifier 
200x2 @ 4Ω, 200x2 @ 2Ω, 400x1 @ 4Ω bridged",780687342371,$459.99,$281.00, 4 , 11.8 , 14.0 , 6.8 , 9.8 , 3.0 , 6.5 , 10.0 , 3.5 
T400X4AD,T400X4AD,ROCKFORD,"4 channel amplifier 
100x4 @ 4Ω, 100x4 @ 2Ω, 200x2 @ 4Ω bridged",780687342388,$569.99,$339.00, 4 , 13.4 , 14.0 , 7.0 , 11.3 , 3.4 , 3.5 , 6.5 , 11.3 
T1000X5AD,T1000X5AD,ROCKFORD,"5 channel amplifier 100x4 + 400x1 @ 4Ω,
100x4 + 600x1 @ 2Ω, NA + 600x1 @ 1Ω",780687345181,$949.99,$567.00, 4 , 20.2 , 14.0 , 6.5 , 14.8 , 5.1 , 14.3 , 6.0 , 3.3 
T750X1BD,T750X1BD,ROCKFORD,"Mono amplifier 
500x1 @ 4Ω, 750x1 @ 2Ω, 750x1 @ 1Ω",780687345198,$549.99,$330.00, 4 , 13.6 , 14.3 , 14.3 , 11.5 , 3.4 , 10.5 , 6.0 , 3.5 
T4004,T400-4,ROCKFORD,"4 channel amplifier 
60x4 @ 4Ω, 100x4 @ 2Ω, 200x2 @ 4Ω bridged",780687324469,$439.99,$264.00, 2 , 24.8 , 12.0 , 11.5 , 19.0 , 12.4 , 18.0 , 11.5 , 5.3 
T6004,T600-4,ROCKFORD,"4 channel amplifier 
100x4 @ 4Ω, 150x4 @ 2Ω, 300x2 @ 4Ω bridged",780687324483,$659.99,$396.00, 2 , 27.8 , 21.0 , 12.0 , 12.0 , 13.9 , 19.0 , 11.5 , 5.3 
T10004AD,T1000-4AD,ROCKFORD,"4 channel amplifier 
250x4 @ 4Ω, 250x4 @ 2Ω, 250x4 @ 1Ω, 500x2 @ 2Ω bridged",780687329976,"$1,099.99",$660.00, 2 , 29.4 , 12.0 , 12.0 , 21.3 , 14.7 , 19.5 , 11.5 , 5.3 
T5001BDCP,T500-1BDCP,ROCKFORD,"Mono amplifier 
300x1 @ 4Ω, 500x1 @ 2Ω , 500x1 @ 1Ω",780687330309,$549.99,$330.00, 2 , 21.6 , 12.0 , 11.8 , 16.5 , 10.8 , 15.8 , 11.5 , 5.5 
T10001BDCP,T1000-1BDCP,ROCKFORD,"Mono amplifier 
700x1 @ 4Ω, 1000x1 @ 2Ω , 1000x1 @ 1Ω",780687330279,$659.99,$396.00, 2 , 26.4 , 12.0 , 12.0 , 20.0 , 13.2 , 18.0 , 11.5 , 5.3 
T15001BDCP,T1500-1BDCP,ROCKFORD,"Mono amplifier 
1000x1 @ 4Ω, 1500x1 @ 2Ω , 1500x1 @ 1Ω",780687330286,$769.99,$462.00, 2 , 28.4 , 12.0 , 11.8 , 20.8 , 14.2 , 19.0 , 11.5 , 5.3 
T25001BDCP,T2500-1BDCP,ROCKFORD,"Mono amplifier 
1500x1 @ 4Ω, 2500x1 @ 2Ω , 2500x1 @ 1Ω ",780687330293,"$1,449.99",$858.00, 1 , 21.8 , 28.0 , 13.0 , 7.0 , 21.8 , 28.0 , 13.0 , 7.0 
PBR300X2,PBR300X2,ROCKFORD,"2 channel amplifier 
100x2 @ 4Ω, 150x2 @ 2Ω, 300x1 @ 4Ω bridged",780687340506,$279.99,$193.00, 4 , 11.6 , 14.3 , 6.3 , 9.5 , 2.9 , 9.0 , 6.0 , 3.2 
PBR400X4D,PBR400X4D,ROCKFORD,"4 channel amplifier 
50x4 @ 4Ω, 100x4 @ 2Ω, 200x2 @ 4Ω bridged",780687351427,$309.99,$212.00, 4 , 11.3 , 14.0 , 6.5 , 9.3 , 2.8 , 6.0 , 3.0 , 9.0 
PBR300X1,PBR300X1,ROCKFORD,"Mono amplifier 
75x1 @ 4Ω, 150x1 @ 2Ω, 300x1 @ 1Ω",780687333096,$279.99,$193.00, 4 , 11.0 , 13.8 , 6.5 , 9.3 , 2.8 , 9.0 , 6.0 , 3.5 
P300X2,P300X2,ROCKFORD,"2 channel amplifier 
100x2 @ 4Ω, 150x2 @ 2Ω, 300x1 @ 4Ω bridged",780687332402,$279.99,$193.00, 4 , 39.2 , 22.0 , 12.3 , 16.0 , 9.8 , 5.5 , 12.5 , 16.0 
P500X2,P500X2,ROCKFORD,"2 channel amplifier 
150x2 @ 4Ω, 250x2 @ 2Ω, 500x1 @ 4Ω bridged",780687332426,$429.99,$289.00, 2 , 25.4 , 12.0 , 11.5 , 19.3 , 12.7 , 12.0 , 19.3 , 5.8 
P1000X2,P1000X2,ROCKFORD,"2 channel amplifier 
300x2 @ 4Ω, 500x2 @ 2Ω, 1000x1 @ 4Ω bridged",780687342173,$549.99,$386.00, 2 , 30.0 , 12.0 , 12.0 , 21.5 , 15.0 , 12.0 , 21.0 , 5.8 
P400X4,P400X4,ROCKFORD,"4 channel amplifier 
50x4 @ 4Ω, 100x4 @ 2Ω, 200x2 @ 4Ω bridged",780687342272,$369.99,$260.00, 2 , 21.6 , 12.0 , 11.3 , 17.3 , 10.8 , 5.8 , 12.0 , 17.0 
P600X4,P600X4,ROCKFORD,"4 channel amplifier 
75x4 @ 4Ω, 150x4 @ 2Ω, 300x2 @ 4Ω bridged",780687342289,$509.99,$355.00, 2 , 25.4 , 12.3 , 11.3 , 19.5 , 12.7 , 12.0 , 19.3 , 5.8 
P1000X5,P1000X5,ROCKFORD,"5 channel amplifier 75x4 + 150x1 @ 4Ω,
125x4 + 300x1 @ 2Ω, N/A + 500x1 @ 1Ω",780687342180,$689.99,$482.00, 2 , 32.0 , 12.0 , 11.5 , 21.3 , 16.0 , 21.0 , 11.5 , 6.0 
P300X1,P300X1,ROCKFORD,"Mono amplifier 
200x1 @ 4Ω, 300x1 @ 2Ω",780687342265,$279.99,$193.00, 4 , 38.4 , 22.0 , 12.3 , 16.5 , 9.6 , 5.5 , 12.5 , 16.0 
P500X1BD,P500X1BD,ROCKFORD,"Mono amplifier 
150x1 @ 4Ω, 300x1 @ 2Ω, 500x1 @ 1Ω",780687332471,$429.99,$289.00, 2 , 22.6 , 12.0 , 11.5 , 17.3 , 11.3 , 5.8 , 12.0 , 17.0 
P1000X1BD,P1000X1BD,ROCKFORD,"Mono amplifier 
300x1 @ 4Ω, 600x1 @ 2Ω, 1000x1 @ 1Ω",780687332495,$549.99,$386.00, 2 , 26.8 , 12.0 , 11.5 , 19.3 , 13.4 , 5.8 , 12.0 , 19.3 
R2200X2,R2-200X2,ROCKFORD,"2 channel amplifier
50x2 @ 4Ω, 100x2 @ 2Ω, 200x1@ 4Ω bridged",780687355814,$239.99,$149.00, 4 , 20.2 , 17.0 , 11.3 , 10.3 , 5.1 , 10.8 , 9.3 , 4.1 
R2300X4,R2-300X4,ROCKFORD,"4 channel amplifier
50x4 @ 4Ω, 75x4 @ 2Ω, 150x2 @ 4Ω bridged",780687355821,$309.99,$182.00, 4 , 24.2 , 17.0 , 14.0 , 11.0 , 6.1 , 12.8 , 9.3 , 4.1 
R2500X4,R2-500X4,ROCKFORD,"4 channel amplifier
75x4 @ 4Ω, 125x4 @ 2Ω, 250x2 @ 4Ω bridged",780687355838,$359.99,$212.00, 4 , 25.4 , 17.0 , 14.0 , 11.0 , 6.4 , 12.8 , 9.3 , 4.1 
R2750X5,R2-750X5,ROCKFORD,"5 channel amplifier
50x4 + 200x1 @ 4Ω, 100x4 + 350x1 @ 2Ω, 200X2 @4Ω bridged",780687355845,$539.99,$320.00, 4 , 31.8 , 17.0 , 15.0 , 11.0 , 8.0 , 12.8 , 9.3 , 4.1 
R2250X1,R2-250X1,ROCKFORD,"Mono amplifier
150x1 @ 4Ω, 250x1 @ 2Ω",780687355852,$249.99,$151.00, 4 , 23.2 , 17.0 , 11.3 , 10.5 , 5.8 , 10.8 , 9.3 , 4.1 
R2500X1,R2-500X1,ROCKFORD,"Mono amplifier
250x1 @ 4Ω, 500x1 @ 2Ω",780687355869,$309.99,$182.00, 4 , 24.8 , 17.0 , 12.0 , 11.0 , 6.2 , 11.3 , 9.3 , 4.1 
R2750X1,R2-750X1,ROCKFORD,"Mono amplifier
250x1 @ 4Ω, 500x1 @ 2Ω, 750x1 @ 1Ω",780687355876,$379.99,$231.00, 4 , 28.2 , 17.0 , 14.0 , 11.0 , 7.1 , 14.5 , 10.3 , 4.3 
R21200X1,R2-1200X1,ROCKFORD,"Mono amplifier
400x1 @ 4Ω, 800x1 @ 2Ω, 1200x1 @ 1Ω",780687355883,$449.99,$273.00, 4 , 32.4 , 18.0 , 15.0 , 11.0 , 8.1 , 13.8 , 9.3 , 4.1 
DSR1,DSR1,ROCKFORD,"Digital signal router with 3SIXTY tuning, program via IOS or Android, see rockfordfosgate.com for OEM compatibility",780687351588,$419.99,$287.00, 6 , 8.0 , 12.8 , 8.5 , 7.8 , 1.3 , 7.0 , 6.0 , 2.5 
HRNARFO2,HRN-AR-FO2,ROCKFORD,DSR1 install harness for select Ford vehicles,627780001449,$69.99,$36.00, 48 , 33.7 , 23.5 , 16.0 , 8.5 , 5.3 , 11.2 , 8.0 , 5.0 
HRNARFO3,HRN-AR-FO3,ROCKFORD,DSR1 install harness for select Ford vehicles,627780002569,$69.99,$36.00, 24 , 9.6 , 9.0 , 23.5 , 16.5 , 0.4 , 8.0 , 5.0 , 1.5 
HRNARCH2,HRN-AR-CH2,ROCKFORD,DSR1 install harness for select Chrysler vehicles,627780001456,$69.99,$36.00, 48 , 28.2 , 23.5 , 16.0 , 8.5 , 4.4 , 11.2 , 8.0 , 5.0 
HRNARCH3,HRN-AR-CH3,ROCKFORD,DSR1 install harness for select Chrysler vehicles,627780001463,$69.99,$36.00, 48 , 28.4 , 23.5 , 16.5 , 8.5 , 0.6 , 11.2 , 8.0 , 5.0 
HRNARCH4,HRN-AR-CH4,ROCKFORD,DSR1 install harness for select Chrysler vehicles,627780002354,$69.99,$36.00, 48 , 30.0 , 23.0 , 16.0 , 9.0 , 0.6 , 5.0 , 1.0 , 7.0 
HRNARTO1,HRN-AR-TO1,ROCKFORD,DSR1 install harness for select Toyota vehicles,627780002538,$69.99,$36.00, 48 , 27.9 , 23.0 , 16.0 , 8.5 , 0.5 , 4.8 , 7.3 , 1.5 
HRNARTO2,HRN-AR-TO2,ROCKFORD,DSR1 install harness for select Toyota vehicles,627780002545,$69.99,$36.00, 48 , 24.0 , 23.0 , 16.0 , 8.5 , 0.6 , 8.0 , 5.0 , 1.0 
HRNARTO3,HRN-AR-TO3,ROCKFORD,DSR1 install harness for select Toyota vehicles,627780002552,$69.99,$36.00, 24 , 25.8 , 23.3 , 16.3 , 8.8 , 1.1 , 8.0 , 5.0 , 1.0 
HRNDSPCH3,HRN-DSP-CH3,ROCKFORD,DSR1 install harness for select Chrysler vehicles,627780002897,$69.99,$36.00, 36 , 27.4 , 9.0 , 23.0 , 16.5 , 0.8 , 8.0 , 5.0 , 1.8 
HRNDSPNI1,HRN-DSP-NI1,ROCKFORD,DSR1 install harness for select Nissan vehicles,627780003092,$69.99,$36.00, 48 , 19.2 , 9.0 , 23.5 , 16.5 , 0.4 , 8.0 , 5.0 , 1.5 
T3S119,T3S1-19,ROCKFORD,"19” subwoofer 
SVC (1Ω), 3000 watts RMS, 6000 watts peak",780687343569,"$2,199.99","$1,380.00", 1 , 107.0 , 25.3 , 25.3 , 21.5 , 107.0 , 25.3 , 25.3 , 21.5 
T3S219,T3S2-19,ROCKFORD,"19” subwoofer
SVC (2Ω), 3000 watts RMS, 6000 watts peak",780687343576,"$2,199.99","$1,380.00", 1 , 106.3 , 25.3 , 24.8 , 21.5 , 106.3 , 25.3 , 24.8 , 21.5 
