"Dealer Name","Contact 1","Email","Tax Number","Dealer Address","Dealer Phone","Tax Exempt","Dealer ID"
"37 Auto Sales","37 Auto Sales","","","1739 N Broadway St","(316) 519-0061","Y","1"
"Campco Auto","Steven Camp","","","","(316) 729-8963","Y","10"
"Test Dealer","","","","","","","100"
"DRIVEN AUTOMOTIVE LLC","","ANDYD@RIVENAUTO316.COM","004-871441583F-01","7440 W 53RD ST N  SUITE-A","(316) 665-2054","Y","101"
"INSTALL CONNECT / TURN 5 INC","","support@installconnect.com","005-043685571-FO1","600 Ceder Hollow Rd","(866) 262-5899","Y","102"
"TNT Wholesale Auto","","","84-3838618","231 s hydrauic","(316) 670-6231","Y","103"
"Grace Auto","","graceautoks@gmail.com","004832167534F-01","10320 W 53RD ST","(316) 304-2360","Y","10320"
"PARKS INC","","mcharles@parksmotors.com","004-480993556F-01","11865 S.W US-Hwy 54 PO BOX 100","(316) 775-4374","Y","104"
"ICT Powered Hobbies","","(316) 633-8590","004-863025987f-01","1410 E 2nd St N","(316) 469-1369","Y","105"
"Car Toyz","","cartoyzbilling@gmail.com","4319745529F-01","210 SE 29th St","(785) 266-0111","Y","106"
"Jay's Auto Sales LLC","","","48-442673666F-01","2306 E 47th St SOUTH","(316) 727-6892","Y","107"
"Stereo Depot","","stereodepot@gmail.com","","6445 El Cajon Blvd","(619) 286-1234","","108"
"Cars 4 You","Adnan Awadi","","","1010 S West St.","(316) 304-1005","Y","11"
"Cooks Heating & Cooling","Jason Wright","","","2215 S West St","(316) 650-8829","Y","12"
"DBI","Brandon Cahoone","","","","(316) 831-9323","F","13"
"Dbt Farms","Mark Franklan","","","","(620) 352-1735","Y","14"
"Discount Wheel & Tire","Esam Madi","","","215 N West St","(316) 260-3969","Y","15"
"Dondlinger Construction","Dondlinger Construction","","","","(316) 943-9393","Y","16"
"European Autosales","European Autosales","","","","(316) 300-8130","Y","17"
"Express Auto Sales","Haytham Soukar","","","3830 S Broadway, Wichita, KS 67216","(316) 371-7408","Y","18"
"General Auto Sales","Bill Al-Soudi","","","6405 S Broadway","(316) 519-0061","Y","19"
"Advance Audio","Advance Audio","","48-1096798-F01","6701 E Kellogg Dr","(316) 687-0277","Y","2"
"iDeal Motors","iDeal Motors","","","4435 S Broadway","(316) 831-1100","Y","20"
"Install Connection","Don Neff","","004452940891f01","2112 E Fairchild St","(316) 680-9201","Y","21"
"Islamic Society Of Wichita","ISW","","","","","Y","22"
"Just Right Auto Repair","Just Right Auto Repair","","","","(316) 942-4747","Y","23"
"Kansas Motor Company","Seth Collins","kansasmotorcompany@gmail.com","","6717 W Kellogg Dr","(316) 518-8427","Y","24"
"M & M Hotwheels","Jerry Mcferrin","","","5258 N Broadway St","(316) 619-7767","Y","25"
"Maize Motors","Maize Motors","synergy6@lycos.com","004-XXXXX2339F-01","5203 N Maize Rd","(316) 200-4790","Y","26"
"Midwest Kia","Joe Konen","joek@midwestkia.com","","8725 West Kellogg","(316) 207-0583","Y","27"
"Motor City Auto Sales","Motor City","","","","(316) 262-4433","Y","28"
"Precision Audio","Precision Audio","","","","(316) 558-8055","Y","29"
"Alcohol Detection Systems","Alcohol Detection System","ap@adsinterlock.com","","107 S Lincoln","(888) 768-7384","F","3"
"Prestige Auto Sales","Prestige Auto Sales","","004-46127958F-01","4400 S Broadway","(316) 992-3521","Y","30"
"Select Motors","Scott Cummings","","","2410 S Oliver St","(316) 806-2668","Y","31"
"Skt Southern Ks Telephone","Michael Gross","","","","(316) 250-7700","Y","33"
"Star Motors","Wally Shisha","","","400 N West St","(316) 518-6157","Y","34"
"Star Shield Solutions","Star Shield Solutions","salessupport@starshieldsolutions.com","","4315 Santa Ana St","(866) 662-4477","Y","35"
"Summit Tech Llc","Kyle Martin","","","","(316) 993-9949","Y","36"
"Super Car Guys","Super Car Guys","","","","(316) 977-7280","Y","37"
"SWDS","Jim Schmitt","","","","(949) 707-4200","Y","38"
"Alexander Motors","Alexander Motors","","","8027 W Kellogg Dr","(316) 729-9076","Y","4"
"Team Industrial Services","Lorenzo Davis","","","","(816) 500-1877","Y","40"
"The Appliance Store","Clint Belcher","","","602 S 4Th","(620) 364-6415","Y","41"
"The Wireless House","Yousef Darkhalil","","","12 Business Loop 70 E","(573) 777-5845","Y","42"
"Trinity Sales LLC","Trinity Sales LLC","","","","(316) 942-5555","Y","43"
"Unique Motors","Alex Al-Hallaq","","","2306 S Broadway","(316) 558-5308","Y","44"
"Aladdin Autos","","","","1601 S Broadway","(316) 260-3900","Y","45"
"Snap Finance","","merchant@snapfinance.com","","","(877) 789-4384","F","46"
"Progressive Leasing","","retailersupport@progleasing.com","","256 West Data Drive","(855) 222-0801","Y","47"
"Acima Credit","","leases@acimacredit.com","005-462225226F-01","P.O. Box 1667","(801) 297-1980","Y","48"
"InstallerNet","","support@installernet.com","","85 Flagship Drive","(877) 496-5193","Y","49"
"All Elements Auto","All Elements Auto","","","6024 N Broadway","(316) 943-8444","Y","5"
"Drive Fast USA","","zack@drivefastusa.com","004844494412F01","10810 W Kellogg","(316) 867-3777","Y","50"
"Wessel Family Motors","","","004481046141F01","800 E Ford St","(316) 640-1473","Y","51"
"EasyPay Finance","","","","PO Box 2549","(833) 500-0603","","52"
"Houston Car Stereo","","","","2930 Hillcroft St","(713) 266-6225","Y","53"
"Competition Sound","","kyle@competitionsound.com","","4330 S Staples St","(361) 991-2055","Y","54"
"BIG DADDY'S STEREO","","clint@bdstereo.com","","2624 Bill Owens Pkwy","(903) 759-0530","Y","55"
"CARBANC AUTOSALES INC","","SCOTT@CARBANC.COM","46-2793945","3155 S BROADWAY","(316) 522-4222","Y","56"
"primera iglesis bautistafundamental","","","83-3822905","1127 S Dodge AVE","(316) 794-6217","Y","57"
"Earmark Car Stereo","","info@earmarkcarstereo.com","","708 Valley Ridge Circle","(214) 222-0974","Y","58"
"D Tire Shop & Auto Sales","","","004-481201707F-04","2401 N Broadway","(316) 838-1666","Y","59"
"America's Auto Mall","Khaled Hassouna","","","11209 W Kellogg","(316) 977-7190","Y","6"
"Long-McArthur Ford","","","004480546531-F01","3450 S 9th","(785) 823-2237","Y","60"
"Elite Auto Sales","","eddy@eliteautosales.com","004-320230628F-01","5505 E Kellogg Dr","(316) 260-4418","Y","61"
"Don Hattan Derby","","lgoodwin@donhattan.com","004814054026F01","2518 N Rock Rd","(316) 932-1932","Y","62"
"Radio Shop","","","004-815415055F-01","1211 E 1st St N","(316) 265-1851","Y","63"
"Speedway Auto Sales & Service","","316-226-5691 Moath","","6000 W Central Ave","(316) 393-8590","Y","64"
"DISCOUNT AUTO SALES","","","004-481162035F-01","3330 E MACARTHUR RD","(316) 686-3538","Y","66"
"Don Hattan West","","LGOODWIN@donhattan.com","004882888459F01","7800 W Kellogg Dr","(316) 858-6001","Y","67"
"Sound FX","","nick@soundfxonline.com","","40 Highland Ave","(401) 431-2100","Y","68"
"Holman (formerly Ari BNSF)","","","","4001 Leadenhall Road","(866) 274-1025","","69"
"Auto Depot","Tom Jackson","","","231 S Hydraulic Ave","(316) 670-6231","Y","7"
"American Radio","","cro32we@gmail.com","","8105 Kingston Pike","(865) 363-4323","Y","70"
"Wichita Auto Plaza","","","036-814503108-F01","5927 E KELLOGG DR","(316) 260-8777","Y","71"
"Adult Day Services Catholic Chariti","","316-214-7139","48-0543703-F01","2235 W. 37th St. N.","(316) 942-2008","Y","72"
"Expert Auto Center","","","004-454782799-F01","2501 W 13th St N","(316) 945-4500","Y","73"
"Automobilia Moonlight Car Show","","","","2039 S Everett","","","74"
"La Poderosa INC","","","004xxxxx1707f04","2401 N Broadway Ave","","","75"
"Hot Rod Garage","","","004471892926F01","10343 US-54","","","76"
