Make;Model;Class;Category;Description;On Hand;Availble;On Order;Committed;Defective;Sold this Year;Barcode SKU;Cost;Retail
KENWOOD;XR9015;AMP;5CH;KENWOOD eXcelon Reference 5-CH AMP;0;0;0;0;0;3;019048222435;$350.00;$699.99
KENWOOD;XM69R;MOTORCYCLE;SPKR;6 x 9 Rear Coax Speaker 1998-up Harley;1;1;0;0;0;1;019048236999;$228.00;$380.00
KENWOOD;XM65R;MOTORCYCLE;SPKR;2014-Up Harley 6.5 Rear Coax Speaker;1;1;0;0;0;;019048237019;$150.00;$249.99
KENWOOD;XM65F;MOTORCYCLE;SPKR;2014-up Harley 6.5 Front Coax Speaker;2;2;0;0;0;;019048237002;$150.00;$249.99
KENWOOD;XM1602;MOTORCYCLE;AMP; 2-Ch Amplifier for 2014-up Harley;1;1;0;0;0;;019048237026;$253.00;$469.99
LINKSWELL;XLJPJL156RR6H;SCREEN;TESLA;15.6 TESLA 2018+ JEEP Wrangler/Gladiator;0;0;0;0;0;;;$1,350.00;$1,995.00
LINKSWELL;XLGMSV15-6RR6H;SCREEN;TESLA;15.6 2015-2020 Tahoe/Suburban/Yukon;0;0;0;0;0;;;$1,350.00;$1,995.95
LINKSWELL;XLGMPU156RR6H;SCREEN;TESLA;15.6 XL Tesla screen GM 2014-2019;0;0;0;0;0;1;;$1,350.00;$2,195.00
LINKSWELL;XLFDPU156RR6H;SCREEN;TESLA;15.6 XL Tesla screen Ford F-150 / F-250;1;1;0;0;0;1;;$1,350.00;$1,995.00
LINKSWELL;XLDGOP156RR6H;SCREEN;TESLA;TESLA 15.6 DODGE RAM 13-18/ 19-UP CLASS;0;0;0;0;0;;;$1,350.00;$1,995.00
XKGLOW;XKROCKADV;LIGHTS;GLOW;RGB (8) LED Rock Light Kits - Bluetooth;1;1;0;0;0;1;;$204.99;$349.99
XKGLOW;XK041007;LIGHTS;GLOW;XKGLOW UNDERBODY+ INTERIOR REM;3;3;0;0;0;;;$71.00;$179.99
XKGLOW;XK041006;LIGHTS;GLOW;XKGLOW UNDERBODY REM;2;2;0;0;0;1;;$56.00;$149.99
JL AUDIO;XDPCS41B;AMP KIT;OFC;4 AWG Power Wire, 80A Maxi Fuse;1;1;0;0;0;5;699440903554;$101.00;$189.99
JL AUDIO;XDM8008;MARINE;AMP;XDM800/8;1;1;0;0;0;;699440986861;$583.00;$1,049.99
JL AUDIO;XDM7005;MARINE;AMP;XDM700/5;0;0;0;0;0;;699440986854;$499.00;$899.99
JL AUDIO;XDM6001;MARINE;AMP;XDM600/1;2;2;0;0;0;;699440986830;$333.00;$599.99
JL AUDIO;XDM4004;MARINE;AMP;XDM400/4;1;1;0;0;0;1;699440986816;$361.00;$649.99
JL AUDIO;XDM10005;MARINE;AMP;XDM1000/5;1;1;0;0;0;1;699440986786;$555.00;$999.99
JL AUDIO;XDCLRAIC2SW;RCA;2CH;Standard Clear Audio Interconnect to Spk;3;3;0;0;0;4;699440904353;$10.00;$17.99
PAC;XC024;ANTENNA;EXTENSION;24 Antenna Extension;3;3;0;0;0;4;012339800244;$4.49;$17.99
SONY;XAVAX7000;SCREEN;2DIN;High-Power CarPlay / Android Media;0;0;0;0;0;1;027242912922;$470.00;$649.99
SONY;XAVAX4000;SCREEN;2DIN;Sony 7 Wireless Apple/ Android/ maestro;1;1;0;0;0;-1;;$350.00;$495.00
SONY;XAVAX3200;SCREEN;2DIN;6.95 Apple Carplay/ Android Audio Media;0;0;0;0;0;4;027242922327;$275.00;$349.99
KENWOOD;X8025;AMP;5CH;KENWOOD EXCELON 5-CH AMP;0;0;0;0;0;2;019048226211;$192.50;$499.99
KENWOOD;X5031;AMP;MONO;eXcelon 500W RMS Monoblock Amp;3;3;0;0;0;3;;$166.00;$299.99
KENWOOD;X3024;AMP;4CH;KENWOOD 4-CH AMP;1;1;0;0;0;2;019048226242;$166.00;$299.99
STINGER;X2D4;ACCESSORY;;STINGER DYNAMAT 18X32;3;3;0;0;0;6;;$17.00;$34.99
AUDIOVOX;WM1;VIDEO;VIDEO;AUDIOVOX SMARTSTREAM MODULE;0;0;0;0;0;;;$40.00;$69.99
MISC;WIRES;WIRE;;WIRES / CONN / FH;18;18;0;0;0;;;$100.00;$150.00
JVC;WHJVC16P;HARNESS;STANDARD;HARNESS JVC 16PIN;1;1;0;0;0;4;;$2.00;$19.99
ALPINE;W12S4;SUB;REG;BassLine Series 12 4-Ohm Car Subwoofer;0;0;0;0;0;4;793276040541;$65.00;$129.99
PAC;VXT69;ACCESSORY;ADAPTER;6X9 SPEAKER BAFFLES;2;2;0;0;0;4;;$13.79;$24.99
PAC;VXT65;ACCESSORY;ADAPTER;6.5 OR 5 1/4 SPEAKER BAFFLES;3;3;0;0;0;2;;$12.58;$24.99
AUDIOVOX;VXMTG13;VIDEO;AIO;Overhead Monitor with DVD & HDMI Input;2;2;0;0;0;1;;$388.00;$595.00
AUDIOVOX;VXMTG10;VIDEO;AIO;AUDIOVOX 10.1 ALL IN ONE DVD;2;2;0;0;0;1;044476138782;$220.00;$449.99
PAC;VWK1017;DASH KIT;STANDARD;DASH KIT VLKS JETTA;2;2;0;0;0;12;012339010179;$13.76;$29.99
PAC;VWK1015;DASH KIT;STANDARD;DASH KIT VW 99-06;1;1;0;0;0;2;012339010155;$10.17;$29.99
PAC;VWK1008;DASH KIT;STANDARD;DASH KIT BEETLE 98-UP;1;1;0;0;0;2;012339010087;$8.37;$29.99
PAC;VWH1050;HARNESS;STANDARD;HARNESS VOLVO 82-92;6;6;0;0;0;;;$2.00;$21.99
PAC;VVOK1052;DASH KIT;STANDARD;DASH KIT VOLVO 85-93;0;0;0;0;0;;;$7.00;$29.99
PAC;VVOK1051;DASH KIT;STANDARD;DASH KIT VOLVO 77-88;0;0;0;0;0;;;$7.00;$29.99
PAC;VVOK1050;DASH KIT;STANDARD;DASH KIT VOLVO 77-92;1;1;0;0;0;;;$7.00;$29.99
VIPER;VSM550;AL/RS;GPS;VPR SmartStart Pro 4G LTE GPS Module;3;3;0;0;0;9;093207104015;$121.00;$279.99
PAC;VS41;SAFETY;;PAC 4 CAMERA SWITCHER;0;0;0;0;0;;609098819015;$124.63;$179.99
PIONEER;VRECDZ700DC;SAFETY;DASH CAM;PIONEER DUAL CAMERA W/MONITOR;0;0;0;0;0;4;;$230.72;$319.99
SOUNDSTREAM;VRCPAA7DR;SCREEN;2DIN;7 DVD Player w/ Carplay & Android Auto;0;0;0;0;0;7;709483062597;$230.00;$349.99
SOUNDSTREAM;VRCPAA7DMR;SCREEN;2DIN;7 Media w/ Carplay & Android Auto & XM;0;0;0;0;0;;;$202.00;$329.99
SOUNDSTREAM;VRCPAA70M;SCREEN;2DIN;7 Media w/ Carplay & Android Auto;0;0;0;0;0;15;709483061620;$215.00;$299.99
T-SPEC;VPNB4;ACCESSORY;DIST BLOCK;MANL 4-Position All-In-One Distribution;1;1;0;0;0;2;086429390649;$37.11;$69.99
T-SPEC;VPNB2;ACCESSORY;DIST BLOCK;MANL 2-Position All-In-One Distribution;1;1;0;0;0;25;086429390649;$22.00;$49.99
PAC;VOLT39;SAFETY;CAM;Adjust The Voltage Output 3.3V/5V/6V/9V;2;2;0;0;0;;;$18.33;$34.99
AUDIOVOX;VODA10;VIDEO;VIDEO;10.1 SMART TV ANDROID OS WITH WIFI;1;1;0;0;0;;044476138775;$580.00;$949.00
T-SPEC;VMANL;ACCESSORY;FUSE HOLDER;MANL 4/8 AWG Fuse Holder;18;18;0;0;0;6;086429391158;$6.61;$21.99
SOUNDSTREAM;VM21B;RADIO;MEDIA; Single DIN Bluetooth usb;0;0;0;0;0;16;709483052222;$38.00;$69.99
SOUNDSTREAM;VIR7830B;SCREEN;2DIN;SOUNDSTREAM DVD / BT/ 7TOUCH;0;0;0;0;0;6;709483038806;$150.00;$239.99
VIPER;VCM550;AL/RS;GPS;VPR Connect 4G LTE GPS Plug&Play Module;0;0;2;0;0;5;093207104305;$121.00;$199.99
FARENHEIT;VB1;VIDEO;VIDEO;FARENHEIT MULTI VIDEO AMP;1;1;0;0;0;;;$18.00;$49.99
T-SPEC;V8R174;RCA;4CH;RCA v8 Series 4-Channel Audio Cable - 17;0;0;0;0;0;6;086429391578;$11.00;$29.99
T-SPEC;V8R17;RCA;2CH;RCA v8 Series 2-Channel Audio Cable - 17;0;0;0;0;0;12;086429391561;$5.67;$18.99
METRA;V8AK8;AMP KIT;OFC;v8 8 AWG Amp Kit - 600 W with RCA Cable;2;2;0;0;0;2;086429280995;$27.49;$89.99
T-SPEC;V8AK4;AMP KIT;OFC;v8 4 AWG Amp Kit - 1500 W with RCA Cable;0;0;0;0;0;4;086429280971;$81.93;$134.99
T-SPEC;V6R3572IN;ACCESSORY;;v6 Series 2-Ch RCA to 3.5MM Jack - 72 in;1;1;0;0;0;2;086429391417;$4.00;$14.99
ALPINE;UTE73BT;RADIO;MEDIA;ALPINE DIGITAL MEDIA Player;0;0;0;0;0;26;793276040855;$83.00;$119.99
PAC;USBTY2;ACCESSORY;USB;USB CABLE ADAPTER TOYOTA;4;4;0;0;0;;609098813693;$11.32;$19.99
PAC;USBTY1;ACCESSORY;USB;USB CABLE ADAPTER TOYOTA;0;0;1;0;0;7;609098813686;$11.32;$19.99
PAC;USBSB1;ACCESSORY;USB;USB CABLE ADAPTER SUBARU;1;1;0;0;0;1;609098813662;$8.39;$19.99
PAC;USBNI2;ACCESSORY;USB;USB CABLE ADAPTER NISSAN;1;1;0;0;0;;609098813716;$14.93;$19.99
PAC;USBNI1;ACCESSORY;USB;USB CABLE ADAPTER NISSAN;1;1;0;0;0;;609098813709;$14.93;$19.99
PAC;USBMB1;ACCESSORY;USB;PAC USB ADAPTER;0;0;0;0;0;;609098825634;$8.39;$21.99
PAC;USBHY1;ACCESSORY;USB;PAC USB PORT HYUNDAI / KIA;2;2;0;0;0;;609098813723;$16.04;$24.99
PAC;USBGM1;ACCESSORY;USB;USB PORT OEM ADAPTER;2;2;0;0;0;21;609098816786;$11.32;$24.99
PAC;USBDMA1;ACCESSORY;USB;PAC USB DASH MOUNT;0;0;0;0;0;101;609098823562;$10.35;$24.99
PAC;USBCDMA3;ACCESSORY;USB;3 Foot USB-C Extension With Dash Mount;1;1;0;0;0;1;609098902182;$18.97;$39.00
PAC;USB725;ACCESSORY;ADAPTER;.25 ' EXTENDER FOR 6.5 SPKRS;3;3;0;0;0;1;012339072504;$10.17;$19.99
PAC;USB700;ACCESSORY;ADAPTER;1 EXTENDER FOR 6.5 SPKRS;2;2;0;0;0;8;123339070005;$10.17;$24.99
PAC;USB60;ACCESSORY;ADAPTER;SPEAKER ADAPTER  6X9 TO 6.5;1;1;0;0;0;;012339000606;$6.57;$17.99
PAC;USB50;DASH KIT;STANDARD;SPEAKER ADAPTER;1;1;0;0;0;1;012339000507;$8.86;$29.99
PAC;UPK800;DASH KIT;STANDARD;DASH KIT UNIVERSAL POCKET;3;3;0;0;0;1;012339080004;$10.17;$29.99
PAC;UPK750;DASH KIT;STANDARD;DASH KIT POCKET KIT;2;2;0;0;0;4;012339750006;$14.97;$29.99
PAC;UPDATE;DASH KIT;STANDARD;DASH KIT 05-06 FG UPDATE;2;2;0;0;0;;;$7.00;$29.99
STINGER;UN1810;SCREEN;2DIN;10 Universal Multimedia Car Stereo;1;1;0;0;0;4;609098831406;$599.00;$795.00
SCOSCHE;UAKP;ACCESSORY;;SCOSCHE 8GW AMP KWIK PLUG;1;1;0;0;0;2;;$28.00;$59.99
PAC;TY1ARS;HARNESS;ADV;HARNESS TOYOTA/ SCION /LEXUS;1;1;0;0;0;11;609098832366;$176.72;$299.00
STINGER;TXJWB12;ENCLOSURE;LOADED;Jeep Gate Mounted Loaded Enclosure;1;1;0;0;0;1;609098836142;$524.48;$699.00
STINGER;TXFBB12;ENCLOSURE;LOADED;Bronco Gate Mounted Loaded Enclosure;1;1;0;0;0;1;;$524.48;$699.00
LABOR;TWT;LABOR;TWEETER;TWEETER;0;0;0;0;0;;;$0.00;$110.00
PAC;TWH951;HARNESS;STANDARD;HARNESS TOYOTA;2;2;0;0;0;;012339809513;$5.87;$23.99
PAC;TVC104;DASH KIT;STANDARD;DASH KIT RADIO HOUSING;1;1;0;0;0;4;012339001047;$10.17;$29.99
PAC;TTR998;DASH KIT;STANDARD;DASH KIT TOYOTA / SCION / SUBA;2;2;0;0;0;5;012339009982;$13.91;$29.99
PAC;TTR992;DASH KIT;STANDARD;DASH KIT 00-UP TOYOTA;1;1;0;0;0;7;012339009920;$6.91;$29.99
PIONEER;TSZ65F;SPKR;COAX;PIONEER 6.5 2-WAY COAXIAL;0;0;0;0;0;1;884938374637;$169.00;$259.99
PIONEER;TSZ65CH;SPKR;CMP;PIONEER 6.52-WAY COMPONENT;0;0;0;0;0;1;884938374613;$247.00;$389.99
PIONEER;TSZ10LS4;SUB;REG;PIONEER 10SINGLE 4 OHMS SUB;0;0;0;0;0;;884938374576;$204.80;$319.99
LINKSWELL;TSTYTC130RR6H;SCREEN;TESLA;Tesla 13 2016-2023 Toyota Tacoma GEN6;1;1;0;0;0;;;$1,125.00;$1,649.99
LINKSWELL;TSTYPU121RR5B;SCREEN;TESLA;TESLA 12.1 TOYOTA TUNDRA 2014 - UP;1;1;0;0;0;;;$1,050.00;$1,495.00
LINKSWELL;TSJPJL121RR5S;SCREEN;TESLA;TESLA 12.1 18+ JEEP Wrangler/Gladiator;0;0;0;0;0;1;;$1,100.00;$1,495.00
LINKSWELL;TSJPGC121RR6H;SCREEN;TESLA;12.1 2014-2021 Jeep Grand Cherokee GEN6;1;1;0;0;0;;;$1,075.00;$1,595.00
LINKSWELL;TSGMPUBSADPT;SCREEN;TESLA;TESLA SCREEN GM BOSE ADAPTER;1;1;0;0;0;8;;$260.00;$399.99
LINKSWELL;TSGMPU121RR5S;SCREEN;TESLA;TESLA 12.1 2014-19 CHEVY/GMC GEN5S;1;1;0;0;0;;;$1,100.00;$1,495.00
LINKSWELL;TSFDSDBOADPT;SCREEN;TESLA;Ford F-250 / 350 B&o Adapter 2020-UP;1;1;0;0;0;0;;$56.00;$149.99
LINKSWELL;TSFDRG121RR6H;SCREEN;TESLA;TESLA 12.1 FORD RANGER 2019-22  GEN6;0;0;0;0;0;;;$1,125.00;$1,640.00
LINKSWELL;TSFDRG121RR5B;SCREEN;TESLA;TESLA 12.1 FORD RANGER 2019-22 GN5;1;1;0;0;0;;;$650.00;$1,495.00
LINKSWELL;TSFDPUSDHARN;SCREEN;TESLA;HARNESS 2020-2022 F-250/F-350 Super Duty;1;1;0;0;0;;;$18.00;$49.99
LINKSWELL;TSFDPUBOADPT;SCREEN;TESLA;Ford F-150 B&o Adapter;1;1;0;0;0;-1;;$56.00;$149.99
LINKSWELL;TSFDPU121KB5B;SCREEN;TESLA;TESLA 12.1 FORD F-150/ 250/ 350 GEN5;0;0;0;0;0;5;;$1,050.00;$1,495.00
LINKSWELL;TSFDPU121AK5S;SCREEN;TESLA;TESLA 12.1 FORD F-150/250/350 GN5;1;1;0;0;0;-1;;$985.00;$1,495.00
LINKSWELL;TSFDMU121RR5B;SCREEN;TESLA;TESLA 12 FORD MUSTANG 2015-2021;0;0;0;0;0;1;;$1,050.00;$1,495.00
LINKSWELL;TSDGPU121RR5B;SCREEN;TESLA;TESLA 12.1 2019 UP DODGE RAM GEN5;1;1;0;0;0;;;$1,050.00;$1,495.00
LINKSWELL;TSDGPU104RR5B;SCREEN;TESLA;TESLA 12.1 2014-18 RAM/ CLASSIC 19+ GN5;1;0;0;1;0;;;$1,050.00;$1,495.00
PIONEER;TSD65F;SPKR;COAX;PIONEER 6.5 2-WAY COAXIAL;0;0;0;0;0;1;884938374446;$103.30;$169.99
PIONEER;TSD65C;SPKR;CMP;PIONEER 6.5 2-WAY COMPONENT;0;0;0;0;0;1;884938374422;$134.00;$219.99
