Product Level,Product Classification,Form,CountryCode,Product Available Date,List Price Sheet,$USD MRP,Family,Product Type,DemoPriceCalculator,Subcategory,SKU,UPC,Product,Case Qty,List Price,Dealer Price,,,,,,,,,,,
HH,Car Audio Amplifiers,AUDIO,,45811,599.99,599.99,AMP JD,Device,1,MRN - AUDIO,010-03883-00,699440983648,"JL Audio JD700/5, JD Car System 5 Channel Amp (98364)",1, $599.99 , $329.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,AUDIO,,,189.99,189.99,AMP VX,Device,1,MRN - AUDIO,010-03327-00,699440984119,XB-BTU,1, $189.99 , $104.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42027,1149.99,1149.99,AMP HD,Device,1,MRN - JL AMP,010-03318-00,699440982214,"Amplifier HD600/4, Amp, JLA, (98221)",2," $1,149.99 ", $632.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42011,1549.99,1549.99,AMP HD,Device,1,MRN - JL AMP,010-03170-00,699440982504,"HD1200/1; Amp., Amp, JLA, (98250)",2," $1,549.99 ", $852.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,41515,1549.99,1549.99,AMP HD,Device,1,MRN - JL AMP,010-03169-00,699440982238,"Amplifier HD900/5, Amp, JLA, (98223)",2," $1,549.99 ", $852.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42011,1049.99,1049.99,AMP HD,Device,1,MRN - JL AMP,010-03168-00,699440982207,"Amplifier HD750/1, Amp, JLA, (98220)",2," $1,049.99 ", $577.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43871,429.99,429.99,AMP JD,Device,1,MRN - JL AMP,010-03323-00,699440983631,"JD1000/1, Amp, JLA, (98363)",2, $429.99 , $236.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43846,239.99,239.99,AMP JD,Device,1,MRN - JL AMP,010-03322-00,699440983600,"JD250/1, Amp, JLA, (98360)",2, $239.99 , $131.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43846,299.99,299.99,AMP JD,Device,1,MRN - JL AMP,010-03185-00,699440983624,"JD500/1, Amp, JLA, (98362)",2, $299.99 , $164.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43846,299.99,299.99,AMP JD,Device,1,MRN - JL AMP,010-03184-00,699440983617,"JD400/4, Amp, JLA, (98361)",2, $299.99 , $164.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43390,729.99,729.99,AMP RD,Device,1,MRN - JL AMP,010-03333-00,699440986434,"RD1500/1, Amp, JLA, (98643)",2, $729.99 , $401.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42599,679.99,679.99,AMP RD,Device,1,MRN - JL AMP,010-03186-00,699440986427,"RD900/5, Amp, JLA, (98642)",2, $679.99 , $373.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42514,379.99,379.99,AMP RD,Device,1,MRN - JL AMP,010-03109-00,699440986212,"RD400/4, Amp, JLA, (98621)",2, $379.99 , $208.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42514,399.99,399.99,AMP RD,Device,1,MRN - JL AMP,010-03108-00,699440986182,"RD500/1, Amp, JLA, (98618)",2, $399.99 , $219.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,42611,579.99,579.99,AMP RD,Device,1,MRN - JL AMP,010-03107-00,699440986175,"RD1000/1, Amp, JLA, (98617)",2, $579.99 , $318.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,45763,999.99,,AMP VX,Device,1,MRN - JL AMP,010-03823-00,699440986342,"VX600/2i, Amp, JLA, (98634)",1, $999.99 , $549.99 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43164,1449.99,1449.99,AMP VX,Device,1,MRN - JL AMP,010-03332-00,699440986403,"VX700/5i, Amp, JLA, (98640)",2," $1,449.99 ", $797.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43175,1049.99,1049.99,AMP VX,Device,1,MRN - JL AMP,010-03331-00,699440986380,"VX600/1i, Amp, JLA, (98638)",2," $1,049.99 ", $577.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43175,1249.99,1249.99,AMP VX,Device,1,MRN - JL AMP,010-03330-00,699440986366,"VX400/4i, Amp, JLA, (98636)",2," $1,249.99 ", $687.49 ,,,,,,,,,,,
HH,Car Audio Amplifiers,JL AMP,,43175,1449.99,1449.99,AMP VX,Device,1,MRN - JL AMP,010-03329-00,699440986311,"VX1000/1i, Amp, JLA, (98631)",2," $1,449.99 ", $797.49 ,,,,,,,,,,,
