make,model,vendorModel,price,sheet,cost,mpq,description
ROCKFORD,P3V265,P3V2-65,629.99,252,234.36,1,"Punch P3 6.5"" 3-Way Component System"
ROCKFORD,P3V269,P3V2-69,629.99,260,241.8,1,"Punch P3 6""x9"" 3-Way Component System"
ROCKFORD,P3V269C2,P3V2-69C2,529.99,212,197.16,1,"Punch P3 6""x9"" 3-Way Coax/Component System"
ROCKFORD,P3V269C3,P3V2-69C3,529.99,212,197.16,1,"Punch P3 6""x9"" 3-Way Coax/Component System"
ROCKFORD,P3V224,P3V2-25,249.99,100,93,1,"Punch P3 2.5"" 3-Way Component Midrange"
ROCKFORD,P2V265,P2V2-65,419.99,168,156.24,1,"Punch P2 6.5"" 2-Way Convertible Speakers"
ROCKFORD,P2V2675,P2V2-675,419.99,168,156.24,1,"Punch P2 6.75"" 2-Way Convertible Speakers"
ROCKFORD,P2V268,P2V2-68,419.99,168,156.24,1,"Punch P2 6""x8"" 2-Way Convertible Speakers"
ROCKFORD,P2V269,P2V2-69,459.99,184,171.12,1,"Punch P2 6""x9"" 2-Way Convertible Speakers"
ROCKFORD,P2V265HO,P2V2-65HO,429.99,172,159.96,1,"Punch P2 6.5"" 2-Way High-Output Convertible Speakers"
ROCKFORD,P2V268HO,P2V2-68HO,429.99,172,159.96,1,"Punch P2 6""x8"" 2-Way High-Output Convertible Speakers"
ROCKFORD,P2V269HO,P2V2-69HO,459.99,184,171.12,1,"Punch P2 6""x9"" 2-Way High-Output Convertible Speakers"
ROCKFORD,P2V2TS,P2V2-TS,279.99,112,104.16,1,"Punch P2 3/4"" Inverted Dome Tweeters"
ROCKFORD,P1V225,P1V2-25,179.99,72,66.96,1,"Punch P1 2.5"" 3-Way Coaxial Speaker"
ROCKFORD,P1V23,P1V2-3,179.99,72,66.96,6,"Punch P1 3.5"" 3-Way Coaxial Speaker"
ROCKFORD,P1V24,P1V2-4,179.99,72,66.96,6,"Punch P1 4"" 3-Way Coaxial Speaker"
ROCKFORD,P1V246,P1V2-46,179.99,72,66.96,6,"Punch P1 4""x6"" 3-Way Coaxial Speaker"
ROCKFORD,P1V25,P1V2-5,199.99,80,74.4,6,"Punch P1 5.25"" 3-Way Coaxial Speaker"
ROCKFORD,P1V26,P1V2-6,199.99,80,74.4,4,"Punch P1 6.0"" 3-Way Coaxial Speaker"
ROCKFORD,P1V265,P1V2-65,199.99,80,74.4,4,"Punch P1 6.5"" 3-Way Coaxial Speaker"
ROCKFORD,P1V2675,P1V2-675,199.99,80,74.4,4,"Punch P1 6.75"" 3-Way Coaxial Speaker"
ROCKFORD,P1V268,P1V2-68,219.99,88,81.84,4,"Punch P1 6""x8"" 3-Way Coaxial Speaker"
ROCKFORD,P1V269,P1V2-69,249.99,100,93,4,"Punch P1 6""x9"" 3-Way Coaxial Speaker"
