make,description,model,type,DEPT,CATEGORY,SIZE,PACK_QTY,COST,PRICE,available,vendor,REORDER_NO,MIN_ORDER
MISC,MINI ANL FUSE,MINIANL,BULK,INSTALL,,,1,1.4,4.99,30,STINGER SOLUTIONS,,
MISC,BATTERY,CR2032,BULK,ACCESSORIES,,,1,0.95,3.49,8,STINGER SOLUTIONS,,
PAC,HONDA ANTENNA ADAP,BAA28,STANDARD,ACCESSORIES,,,1,4.49,19.99,4,AMERICAN INTERNATIONAL,,
PAC,FORD HARNESS,BHA5520,STANDARD,ACCESSORIES,,,1,4.09,19.99,-1,STINGER SOLUTIONS,,
PAC,CHRYSLER HARNESS 07,BHA6522,STANDARD,ACCESSORIES,,,1,5.44,24.99,4,AMERICAN INTERNATIONAL,,
PAC,HONDA HARNESS,BHA7712,STANDARD,ACCESSORIES,,,1,2,19.99,1,AMERICAN INTERNATIONAL,,
PAC,DODGE CHARGER  KIT,CDK639B,STANDARD,ACCESSORIES,,,1,30,79.99,0,AMERICAN INTERNATIONAL,,
PAC,DODGE DD KIT,CDK642,STANDARD,ACCESSORIES,,,1,8.33,29.99,12,AMERICAN INTERNATIONAL,,
PAC,GM 06-UP DD,GMK318,STANDARD,ACCESSORIES,,,1,7.55,34.99,1,AMERICAN INTERNATIONAL,,
PAC,HONDA ACCORD 08-UP KIT,HONK852D,STANDARD,ACCESSORIES,,,1,35.06,99.99,2,AMERICAN INTERNATIONAL,,
PAC,MERCEDES DD KIT C CLASS 05-07,M102C,STANDARD,ACCESSORIES,,,1,6,39.99,0,AMERICAN INTERNATIONAL,,
PAC,TOYOTA HIGHLANDER KIT,TOYK989,STANDARD,ACCESSORIES,,,1,13,49.99,1,AMERICAN INTERNATIONAL,,
PYRAMID,PYRAMID UNIVERSAL ANTENNA,1305,STANDARD,AMP,,,1,3.99,19.99,0,WHOLESALE HOUSE,,
PIONEER,PIONEER MHL ANDROID KIT,CDAH200,STANDARD,ACCESSORIES,,,1,42,99.99,0,PIONEER,,
PYRAMID,PYRAMID ANTENNA,1307,STANDARD,INSTALL,,,1,4,24.99,1,WHOLESALE HOUSE,,
MISC,BATTERY,CR2016,BULK,ACCESSORIES,,,1,0.95,3.49,4,STINGER SOLUTIONS,,
MISC,0 GAUGE BLACK,0GB,BULK,INSTALL,,,1,0,11,0,SANTA FE,,
MISC,WIRE SPKR 16G,16GS,BULK,INSTALL,,,1,0.1,0.75,0,SANTA FE,,
METRA,04 BOXSTER CAYMAN KIT,999606G,STANDARD,INSTALL,,,1,13.2,39.99,0,SANTA FE,,
AXXESS,04-09 PORSCHE HARNESS,AXDIP04,STANDARD,INSTALL,,,1,237.98,499.99,0,SANTA FE,,
DYNAMAT,DYNAMAT KIT,10415,STANDARD,INSTALL,,,1,10,24.99,0,WHOLESALE HOUSE,,
DYNAMAT,DYNAMAT XTREME 4 SQ FT,10425,STANDARD,INSTALL,,,1,18.66,49.99,0,WHOLESALE HOUSE,,
DYNAMAT,DYNAMAT 12SQ FT KIT,10435,STANDARD,INSTALL,,,1,50,99.99,0,WHOLESALE HOUSE,,
PIONEER,PIONEER DD CD USB BLUETOOTH,FHS500BT,STANDARD,ACCESSORIES,,,1,88,109.99,0,PIONEER,,
KENWOOD,10 MARINE W/AMP,PWD250MRW,STANDARD,SUB,,,1,143,229.99,0,KENWOOD,,
KENWOOD,"10"" EXCELON HALO",DMX1057XR,STANDARD,HEAD UNIT,,,1,750,1599.99,1,KENWOOD,,
METRA,"10"" EXTENTIONS",SR10,STANDARD,INSTALL,,,1,7.56,24.99,2,METRA,,
ISIMPLE,ISIMPLE UNIVERSAL AUX USB,IS32,STANDARD,ACCESSORIES,,,1,42.46,89.99,0,AMERICAN INTERNATIONAL,,
ISIMPLE,ISIMPLE 6' LIGHTNING CABLE,IS9405,STANDARD,ACCESSORIES,,,1,14.94,34.99,0,AMERICAN INTERNATIONAL,,
ISIMPLE,ISIMPLE BLUTOOTH AUX,ISBT32,STANDARD,ACCESSORIES,,,1,17.56,39.99,0,AMERICAN INTERNATIONAL,,
ISIMPLE,ISIMPLE BLUETOOTH CALL/AUDIO,ISFM2201,STANDARD,ACCESSORIES,,,1,80.71,179.99,1,AMERICAN INTERNATIONAL,,
ISIMPLE,NISSAN AUX ADAPTOR,ISNI571,STANDARD,ACCESSORIES,,,1,80,179.99,1,AMERICAN INTERNATIONAL,,
ISIMPLE,ISIMPLE UNIVERSAL PHONE MOUNT,ISSH73,STANDARD,ACCESSORIES,,,1,8.46,24.99,0,AMERICAN INTERNATIONAL,,
ISIMPLE,ISIMPLE IPHONE PHONE MOUNT,ISSH74,STANDARD,ACCESSORIES,,,1,8.46,24.99,0,AMERICAN INTERNATIONAL,,
DYNAMAT,DYNAMAT KIT,10455,STANDARD,INSTALL,,,1,142,319.99,1,WHOLESALE HOUSE,,
PAC,PAC LOC PRO LINE OUT CONV,LP72R,STANDARD,ACCESSORIES,,,1,30.33,59.99,1,STINGER SOLUTIONS,,
