SALEDATE,SALESTIME,STAFF,INVNO,PLU,PROD,QTY,PRICE,DISCOUNT,TOTAL,MOP,SALESTATUS,COGS,DEPT,TAX1NAME,TAX2NAME,TAX1,TAX2,CH2,PRTFLAG,CLIENT,CITY,STATE,CUSTNO,SUPPLIER,AUTHCODE,PROCESSDAT,ACQREFDAT,RECORDNO,REFNO,COMISSION
,,,,,,0.00,0.00,0.00,0.00,,,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
5/11/2004,10:25,,CT1-1109,,BNI.F927P LINC. MK8 FENDER TRM,1.00,159.99,0.00,0.00,CASH,SALE,0.00,,,,11.52,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,AS420,"4"" SPL 130 WATT",1.00,39.99,0.00,39.99,CASH,SALE,9.35,SPEAKERS,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,AMP,LABOR AMPLIFIER,1.00,50.00,0.00,50.00,CASH,SALE,0.00,LABOR,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,PKRD1,10 GA AMP KIT,1.00,19.99,0.00,19.99,CASH,SALE,5.99,INSTALL,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,CS2002DC,CRIME STOPPER ALARM,1.00,99.99,0.00,99.99,CASH,SALE,43.50,ALARMS,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,ALA,LABOR ALARM,1.00,60.00,0.00,60.00,CASH,SALE,0.00,LABOR,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,SP2,LABOR SPEAKER 2,1.00,25.00,0.00,25.00,CASH,SALE,0.00,LABOR,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,CDP,LABOR HEAD UNIT,1.00,60.00,0.00,60.00,CASH,SALE,0.00,LABOR,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
4/18/2005,14:31,,CT1-3504,KDG110,JVC CD PLAYER,1.00,99.99,0.00,99.99,CASH,SALE,69.00,HEAD UNIT,,,33.89,0.00,0.00,FALSE,,,,,,,,,,,
6/1/2005,15:05,J. SALMAN,OP1-1006,701770,86 UP FORD TURBOWIRE (MAZDA),1.00,12.99,0.00,12.99,CASH,SALE,1.99,INSTALL,,,31.08,0.00,0.00,FALSE,,,,,,,,,,,
6/1/2005,15:05,J. SALMAN,OP1-1006,UNKNOWN ITEM,RADIO KIT,1.00,12.99,0.00,12.99,CASH,SALE,0.00,,,,31.08,0.00,0.00,FALSE,,,,,,,,,,,
6/1/2005,15:05,J. SALMAN,OP1-1006,ADB340MP,CLARION DBL DIN AM/FM/CD/CST/3,1.00,349.97,0.00,349.97,CASH,SALE,248.00,CD,,,31.08,0.00,0.00,FALSE,,,,,,,,,,,
6/1/2005,15:05,J. SALMAN,OP1-1006,UNKNOWN ITEM,INSTALL CD/TAPE,1.00,37.03,0.00,37.03,CASH,SALE,0.00,,,,31.08,0.00,0.00,FALSE,,,,,,,,,,,
6/4/2005,10:56,J. SALMAN,OP1-1007,LXR1,LEGACY X-OVER,1.00,24.99,0.00,24.99,CASH,SALE,7.30,ACC,,,1.88,0.00,0.00,FALSE,,,,,,,,,,,
6/4/2005,15:03,J. SALMAN,OP1-1008,UNKNOWN ITEM,PARTS,4.00,0.99,0.00,3.96,CASH,SALE,0.00,,,,0.97,0.00,0.00,FALSE,,,,,,,,,,,
6/4/2005,15:03,J. SALMAN,OP1-1008,UNKNOWN ITEM,10G SPEAKER WIRE,10.00,0.89,0.00,8.90,CASH,SALE,0.00,,,,0.97,0.00,0.00,FALSE,,,,,,,,,,,
6/4/2005,16:35,J. SALMAN,OP1-1009,,PAYMENT ON LAYAWAY #1009,1.00,20.00,0.00,20.00,CASH,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/4/2005,17:53,J. SALMAN,OP1-1011,,PAYMENT ON LAYAWAY #1011,1.00,20.00,0.00,20.00,,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,13:25,J. SALMAN,OP1-1013,UNKNOWN ITEM,KICKER 6X9,1.00,109.99,0.00,109.99,CASH,SALE,0.00,,,,33.86,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,13:25,J. SALMAN,OP1-1013,UNKNOWN ITEM,KICKER 6.5,1.00,79.99,0.00,79.99,CASH,SALE,0.00,,,,33.86,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,13:25,J. SALMAN,OP1-1013,UNKNOWN ITEM,4G AMP KIT,1.00,49.99,0.00,49.99,CASH,SALE,0.00,,,,33.86,0.00,0.00,FALSE,,,,,,,,,,,
