PROD,PLU,DEPT,BSIZE,PKG,LASTCOST,ITEMTYPE,CATEGORY,AVGCOST,UNITPRICE1,UNITPRICE2,UNITPRICE3,UNITPRICE4,PRICEBRK1,PRICEBRK2,PRICEBRK3,MARGIN,YTDTOTAL,YTDGROSS,SALESTART,SALEEND,SALEPRICE,LASTYR_TOT,BASTOCK,ONHAND,ONORDER,ORDATE,LASTSHIP,RECVD,B4YREND,BACKORD,SUPPLIER,ROP,ROQ,SUBCODE,TAGALONG,PARENT,BINLOC,PICPATH,LASTUPD,SHIPWEIGHT,COMMISSION,MAXCOMM,COMMTYPE,JAN_GROSS,FEB_GROSS,MAR_GROSS,APR_GROSS,MAY_GROSS,JUN_GROSS,JUL_GROSS,AUG_GROSS,SEP_GROSS,OCT_GROSS,NOV_GROSS,DEC_GROSS,JAN_VOLUME,FEB_VOLUME,MAR_VOLUME,APR_VOLUME,MAY_VOLUME,JUN_VOLUME,JUL_VOLUME,AUG_VOLUME,SEP_VOLUME,OCT_VOLUME,NOV_VOLUME,DEC_VOLUME,TX1,TX2,PRTFLAG,LASTYR,WEEKLY,BONUSBUY,TWOFORONE,BONUSGET,SALESMSG,INVOICEMSG,NOTES,KIT,MATRIX,SUPLIST,SERNO,SCALE,WEBDELETE,THCWEIGHT,SUPPCODE,BRAND
BOSS UNIVERSAL  HEADREST MOUNT,HRB50,VIDEO,,1,0.000,STANDARD,,0.000,29.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,0.00,0.00,,6/29/2015,-2.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,,,,,,,,,,,,,,
MULTI-VIDEO AMPLIFIER,VB1,VIDEO,,1,13.990,STANDARD,,13.990,59.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,0.00,0.00,,12/8/2010,2.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,2/22/2012,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,,,,,,,,,,,,,,
ANTENNA,ANT1,VIDEO,,1,12.990,STANDARD,,0.000,39.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,1.00,1,-1.00,0.00,,12/20/2007,1.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,9/30/2023,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
1 MALE 2 FEMALE RCA,RHRCAY2,INSTALL,,1,1.230,STANDARD,,1.228,4.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,1.00,0.00,,2/20/2013,8.00,0.00,0.00,SANTA FE,0,0,,,,,,1/10/2015,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
AGU FUSE HOLDER,GFBW2,INSTALL,,1,0.000,STANDARD,,0.000,12.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,0.00,0.00,,4/18/2012,2.00,0.00,0.00,SANTA FE,0,0,,,,,,7/12/2014,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
WAFFLE GRILL BRACKET,PMBGBX4,SUBS,,1,0.150,STANDARD,,0.000,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,6.00,0.00,,,0.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,6/28/2010,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
"10"" WAFFLE GRILL",PMBGW10,ACCESSORIES,,1,0.690,STANDARD,,0.000,7.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,8.00,0.00,,6/29/2015,-2.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,2/20/2014,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
"12"" WAFFLE GRILL",PMBGW12,ACCESSORIES,,1,0.990,STANDARD,,0.000,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,9.00,0.00,,6/29/2015,-3.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,6/2/2018,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
ADJUSTABLE LINE OUT CONVERTOR,SNI35,INSTALL,,1,9.790,STANDARD,,9.790,24.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,3.00,1,0.00,0.00,,1/9/2019,4.00,0.00,0.00,WHOLESALE HOUSE,0,0,,,,,,9/12/2023,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
DYNAMAT LICENSE PLATE KIT,19100,INSTALL,,1,7.640,STANDARD,,7.640,24.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,2.00,49.98,,,0.00,16.00,1,5.00,0.00,,10/31/2017,10.00,0.00,0.00,WH0LESALE HOUSE,0,0,,,,,,8/4/2025,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,24.99,24.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"3.00,1.00,1.00,2.00,0.00,1.00,1.00,1.00,2.00,3.00,0.00,1.00","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0",,,0,,,,,,,,,,,".00,0.00,0.00,0.","00,0.00,0.00,0.0"
RED SHIFT KNOB,GS150,ACCESSORIES,,1,13.000,STANDARD,,0.000,29.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,0.00,0.00,,,0.00,0.00,0.00,DRAGON,0,0,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
90-96 CADDY/CHEV AMP BYPASS,701857,INSTALL,,1,14.660,STANDARD,,14.660,49.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,0.00,0.00,,2/18/2011,1.00,0.00,0.00,DRAGON,0,0,,,,,,7/13/2013,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
00-01 PONTIAC AMP BYPASS KIT,702000,INSTALL,,1,12.830,STANDARD,,0.000,49.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,3.00,0.00,,6/13/2023,3.00,0.00,0.00,DRAGON,0,0,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,,,,,,,,,,,,,,
UNIVERSAL AMP BYPASS KIT,701855,INSTALL,,1,9.480,STANDARD,,9.480,49.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,0.00,0.00,,8/11/2011,1.00,0.00,0.00,DRAGON,0,0,,,,,,5/2/2015,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
75-00 FORD TURBOKIT,995700,INSTALL,,1,4.830,STANDARD,,0.000,17.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,1.00,1,0.00,0.00,,8/26/2004,6.00,0.00,0.00,DRAGON,0,0,,,,,,10/8/2024,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,",,,,,,,,,,,,,,,,
79-91 FORD/LINCOLN/MERC TURBOK,995500,INSTALL,,1,6.010,STANDARD,,0.000,17.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,0.00,1,2.00,0.00,,,0.00,0.00,0.00,DRAGON,0,0,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
89 UP FORD MAZDA MERC TURBOKIT,995512,INSTALL,,1,4.960,STANDARD,,0.000,17.99,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,,,0.00,1.00,1,1.00,0.00,,1/1/2005,1.00,0.00,0.00,DRAGON,0,0,,,,,,3/17/2023,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRUE,FALSE,TRUE,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,",,,,,,,,,,,,,,,,
